,time,max t2m,min t2m,rel. humidity,total precip.,total runoff,surf. moisture,max windgust,disaster_type
13,30,0.026541045,-0.022883354,0.04499535,0.0026137473,0.14214098,0.050831813,0.008986871,Landslide
14,45,-0.023719449,0.007881355,0.043810256,0.018743189,0.06118444,0.06832991,0.016566547,Landslide
15,60,-0.0027742211,-0.022818025,0.019991308,0.03639252,0.03237374,0.051015813,0.012826316,Landslide
16,90,0.013934002,0.0059937434,0.07227498,-0.00087888754,0.03230164,0.05286589,0.008013354,Landslide
17,180,-0.010461145,0.0037492951,0.06375531,0.042962853,0.004213648,0.032366022,0.029369572,Landslide
18,365,0.027041959,-0.017148387,-0.017574895,-0.026833383,-0.022155635,0.05584621,-0.021096546,Landslide
0,-365,-0.028621987,-0.05804017,0.04313129,0.02107679,0.030299252,0.084273696,-0.016591782,Cold wave
1,-180,-0.101774916,-0.14973368,0.1116662,0.060586564,0.029151333,-0.045323152,0.045931187,Cold wave
2,-90,0.32124949,0.2676363,-0.0268008,-0.06872775,-0.05988079,-0.05099447,-0.12574121,Cold wave
3,-60,0.2279673,0.25749463,-0.021866988,-0.004168018,-0.05306824,0.040830564,0.08130249,Cold wave
4,-45,-0.056094233,-0.011670857,0.0960403,0.014695212,-0.05901219,-0.026173098,-0.054942228,Cold wave
5,-30,0.22580722,0.16274801,0.004296634,0.013479695,-0.03146713,0.12681547,0.094456196,Cold wave
6,-15,-0.084589094,-0.108713925,0.050123014,0.08230455,-0.03493959,-0.049099974,0.084361576,Cold wave
7,-7,-0.29516873,-0.2787685,0.11383712,-0.0018113967,-0.12083978,-0.23864184,0.046745867,Cold wave
8,-1,-0.653881,-0.6568376,0.045215726,0.09896658,-0.12661652,-0.35483187,0.00030799306,Cold wave
9,0,-0.537746,-0.4449775,0.020365715,0.07096052,-0.049430568,-0.123628356,0.03602752,Cold wave
10,1,-0.6194087,-0.53948206,0.043411743,0.2305702,0.022846319,-0.146264,0.10899205,Cold wave
11,7,-0.42652944,-0.4309033,0.06620837,0.15718459,0.026303107,-0.18371932,-0.006323711,Cold wave
12,15,-0.4229947,-0.37609273,0.04301686,0.01259606,-0.09590895,-0.20288043,-0.07110789,Cold wave
13,30,-0.17289883,-0.1527874,0.060418148,0.024474343,-0.07732151,-0.171435,-0.043142788,Cold wave
14,45,-0.12167048,-0.14440694,-0.012336089,-0.008116762,-0.11489833,-0.18675224,-0.06794309,Cold wave
15,60,-0.1016626,-0.13528314,-0.06874857,0.0066998713,-0.07731428,-0.19336785,0.036694147,Cold wave
16,90,0.109938174,0.056753766,-0.06835129,-0.086837985,-0.08122042,-0.09616378,-0.064392194,Cold wave
17,180,0.18647371,0.22988081,0.010181607,-0.017590344,-0.024436291,0.03728051,0.017516201,Cold wave
18,365,0.14767203,0.11531224,0.0075923745,0.050531887,-0.01972398,0.0869942,0.077024356,Cold wave
0,-365,-0.063662045,-0.12607819,-0.023292078,-0.001417787,-0.03868807,0.037527703,0.025958117,Heat wave
1,-180,0.1134677,0.09747048,0.10336564,-0.08869659,0.04872665,-0.055649687,-0.048881758,Heat wave
2,-90,-0.085710734,-0.18385117,-0.10697384,-0.04970506,-0.05671007,-0.2766306,0.12591936,Heat wave
3,-60,-0.06866358,-0.16014446,-0.07379757,-0.05020756,-0.13430613,-0.22691062,0.1811901,Heat wave
4,-45,0.0029908286,-0.074327916,-0.004141751,-0.04015373,-0.17545538,-0.19263934,-0.018707093,Heat wave
5,-30,-0.22330162,-0.28458455,0.088869244,0.02647272,-0.14469591,-0.18607914,0.042527378,Heat wave
6,-15,0.0746462,0.09272361,0.06430868,0.03865587,-0.15154335,-0.3572132,-0.032284074,Heat wave
7,-7,0.34898332,0.26530075,-0.13681144,-0.13992353,-0.20041029,-0.34422994,-0.03381873,Heat wave
8,-1,0.6455515,0.55785125,-0.25928366,-0.13316002,-0.24185866,-0.49758703,-0.17414735,Heat wave
9,0,0.4220306,0.111749455,-0.44503978,-0.191785,-0.17020379,-0.42577612,-0.0871749,Heat wave
10,1,0.5536136,0.18461357,-0.50205654,-0.09544512,-0.14329635,-0.44957578,-0.15308341,Heat wave
11,7,0.55976087,0.41280338,-0.3399315,-0.15966031,-0.20888628,-0.44851765,-0.07169403,Heat wave
12,15,0.3821844,0.26934615,-0.14125502,-0.16372576,-0.25785506,-0.4550046,-0.055455524,Heat wave
13,30,-0.048159245,-0.041684303,0.077332616,0.05764491,-0.08111512,-0.18872471,-0.036569785,Heat wave
14,45,0.08587022,-0.016262578,-0.06193263,-0.10350227,-0.18677738,-0.30957115,0.047832206,Heat wave
15,60,-0.100811936,-0.14492816,-0.0033643127,-0.028902352,-0.16951856,-0.13674308,0.12633489,Heat wave
16,90,-0.2586095,-0.26416177,0.051068857,0.08319291,-0.09803168,-0.03714523,0.015152582,Heat wave
17,180,-0.3035357,-0.22862989,0.13555063,0.049526703,-0.024084635,-0.14101666,0.13437076,Heat wave
18,365,0.11941944,0.084652,-0.022903526,-0.062189635,-0.12854294,-0.11908631,-0.05984554,Heat wave
0,-365,0.031054981,-0.0076557156,-0.002217253,-0.06039211,0.04688702,0.09257715,-0.06426076,Drought
1,-180,0.08875868,0.08469197,-0.044779465,0.077943854,0.058333825,0.010672868,0.10354893,Drought
2,-90,0.026547417,-0.037606772,-0.124679364,-0.10498722,-0.056603827,-0.15764542,0.15520312,Drought
3,-60,0.08093919,0.03795331,-0.0131439455,-0.037379563,-0.07014445,-0.24225542,0.067500696,Drought
4,-45,0.1186401,0.0306274,-0.13239539,-0.117034115,-0.1397641,-0.2690439,0.058523912,Drought
5,-30,0.20892385,0.032969918,-0.21103524,-0.13183,-0.11483108,-0.3015463,0.009849998,Drought
6,-15,0.047137897,0.0053301672,-0.13836685,-0.12194596,-0.15011382,-0.3656045,0.06749904,Drought
7,-7,0.111776024,0.05624595,-0.094933614,-0.10040624,-0.14450479,-0.37055838,-0.05149847,Drought
8,-1,0.14753029,0.06437647,-0.09597647,0.11886991,0.00043451143,-0.34059617,0.08039694,Drought
9,0,0.052597277,-0.054385006,-0.17630127,-0.1497325,-0.12724006,-0.37202603,0.1458833,Drought
10,1,0.034879033,-0.09853393,-0.26030886,-0.09465301,-0.05079899,-0.3666376,0.09234195,Drought
11,7,0.19557917,-0.048823677,-0.26696467,-0.15935422,-0.15848057,-0.4754389,0.19210464,Drought
12,15,0.1768477,0.0520531,-0.17795056,-0.04776868,-0.1288713,-0.40003031,0.069526955,Drought
13,30,0.13232526,0.018793838,-0.06762574,-0.10072236,-0.17176124,-0.43982884,0.0004093065,Drought
14,45,0.17992803,0.09219147,-0.13571656,-0.11925795,-0.14840789,-0.400508,-0.01130205,Drought
15,60,0.17032892,0.12018361,-0.227279,-0.035860237,-0.09712882,-0.34691226,0.10681781,Drought
16,90,0.030509092,-0.01901701,-0.059876233,-0.08549732,-0.16405016,-0.3410146,0.11161268,Drought
17,180,0.06468519,-0.08837996,-0.050769083,-0.057564896,-0.1381163,-0.30019727,-0.03416638,Drought
18,365,-0.0052845883,0.04689614,0.08226817,-0.02183857,0.008190274,-0.04042874,-0.08316851,Drought
0,-365,-0.076005675,-0.10253705,0.083748974,0.0031304676,0.0281785,0.058258176,-0.086461596,Wildfire
1,-180,0.024522243,0.04295843,-0.04828743,-0.06670274,0.00056533236,-0.15474668,-0.037253648,Wildfire
2,-90,-0.02568753,-0.021532314,0.068001546,-0.08653057,-0.077318974,-0.21565305,0.0038964264,Wildfire
3,-60,0.025827568,-0.10530987,-0.019729938,-0.015483277,-0.047864243,-0.23325619,0.024198584,Wildfire
4,-45,0.17554331,0.089338414,-0.09405017,-0.11897538,-0.15958676,-0.32588214,0.025636889,Wildfire
5,-30,-0.021985732,-0.05480757,-0.12687153,-0.01306523,-0.07535583,-0.27616537,0.089875266,Wildfire
6,-15,0.10226155,0.049045336,-0.059650313,-0.05460421,-0.13169882,-0.3987571,0.06861173,Wildfire
7,-7,0.27845386,0.09296736,-0.23731725,-0.15889049,-0.20644768,-0.502702,0.02479567,Wildfire
8,-1,0.5667956,0.32394645,-0.62301,-0.15874185,-0.17433842,-0.5841243,0.3357114,Wildfire
9,0,0.52031684,0.2459863,-0.79504627,-0.1896296,-0.16552049,-0.5162607,0.58975834,Wildfire
10,1,0.32744965,0.19009496,-0.7535089,-0.14755051,-0.15629485,-0.5093453,0.41119942,Wildfire
11,7,0.20677291,0.043526065,-0.28218338,-0.058587443,-0.14016691,-0.4437201,0.05618347,Wildfire
12,15,0.17980428,0.06772133,-0.21835916,-0.06624877,-0.16354524,-0.43885392,0.0037092608,Wildfire
13,30,0.16014208,0.07851805,-0.13843317,-0.11905909,-0.17068519,-0.44118747,0.030453373,Wildfire
14,45,0.14745004,0.13146459,-0.120789744,-0.05785961,-0.14281332,-0.37846723,-0.010992309,Wildfire
15,60,0.020918908,-0.0031975405,-0.07808673,-0.061612476,-0.14390573,-0.22813107,0.0019988618,Wildfire
16,90,-0.102955274,-0.22678587,-0.07152221,-0.041901328,-0.08399929,-0.19484338,0.045793917,Wildfire
17,180,-0.014553039,0.062345956,0.13383757,0.07852536,0.022649793,-0.0031276697,0.07958758,Wildfire
18,365,-0.023591835,0.008699997,0.052151397,0.024688996,0.010441425,-0.054468654,-0.047564697,Wildfire
