case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
Medium sHDI - better-off : Very high sHDI,0.6778373936069186,0.3110096408279716,1.5736277505309033,-0.3888478522443129,-1.1679313678365217,0.4533836229975261,Storm,0.3458539749032519,Medium sHDI,better-off,657,Likelihood fatalities,.,0.2
Medium sHDI - nat-average : Very high sHDI,1.0403268017641314,0.5185270839498166,2.3873289090855883,0.03953489625811134,-0.6567630174794334,0.8701751296889839,Storm,0.9179331346614865,Medium sHDI,nat-average,816,Likelihood fatalities,.,0.2
Medium sHDI - worse-off : Very high sHDI,5.682221076565961,1.2514327763924695,17.50485619819945,1.7373421909056364,0.22428911601831034,2.862478339474255,Storm,0.010057946076198343,Medium sHDI,worse-off,662,Likelihood fatalities,* ,1
High sHDI - better-off : Very high sHDI,2.764122265035759,0.8972107646282201,7.165760028988808,1.0167231397446612,-0.10846447838284762,1.9693141308797912,Cold wave,0.061843109108752445,High sHDI,better-off,108,Likelihood fatalities,.,0.2
High sHDI - nat-average : Very high sHDI,1.6670240735159445,0.8664306300730438,3.466382417809521,0.511040044885706,-0.14337323065036547,1.2431115192548166,Cold wave,0.14592879117082974,High sHDI,nat-average,130,Likelihood fatalities,.,0.2
High sHDI - worse-off : Very high sHDI,0.027432105017959674,0.016670011728240716,0.051591219293550594,-3.5960412355276037,-4.09414387866595,-2.9644037897046007,Cold wave,3.7913500567397724e-35,High sHDI,worse-off,84,Likelihood fatalities, *** ,1
Low sHDI - better-off : Very high sHDI,7.252558533177377,4.407253316093137,13.639796781161978,1.9813543077395406,1.4832516646011846,2.612991753562538,Cold wave,9.37872880425818e-12,Low sHDI,better-off,84,Likelihood fatalities, *** ,1
Low sHDI - nat-average : Very high sHDI,3.525143789106361,1.078160504353734,8.77853867104271,1.2599212266681392,0.07525635226983286,2.172309955416798,Cold wave,0.020185586500687594,Low sHDI,nat-average,105,Likelihood fatalities,* ,1
Low sHDI - worse-off : Very high sHDI,0.7242669519364904,0.054756865976444434,2.3817202908650876,-0.32259523641192706,-2.904852512185742,0.8678230378689673,Cold wave,0.7579793561403505,Low sHDI,worse-off,90,Likelihood fatalities,.,0.2
Medium sHDI - better-off : Very high sHDI,101.97692807426854,0.612701678344862,367.91381522609714,4.624746592347936,-0.4898771199938556,5.907848712985183,Cold wave,0.051016585400475906,Medium sHDI,better-off,87,Likelihood fatalities,.,0.2
Medium sHDI - nat-average : Very high sHDI,0.8104327428689875,0.2496746705654249,1.9959126383427777,-0.21018692352107826,-1.3875965263073993,0.6911014085660675,Cold wave,0.6818999480024269,Medium sHDI,nat-average,103,Likelihood fatalities,.,0.2
Medium sHDI - worse-off : Very high sHDI,1.3835778804426548,0.27420663549898405,4.165899915771094,0.3246728109934531,-1.2938733126610071,1.4269323184914111,Cold wave,0.6588296213073208,Medium sHDI,worse-off,94,Likelihood fatalities,.,0.2
High sHDI - better-off : Very high sHDI,0.27463043585339314,0.006303185478605664,1.3880521842165703,-1.2923289547421932,-5.066700141848487,0.32790145807569177,Wildfire,0.31537209898112667,High sHDI,better-off,81,Likelihood fatalities,.,0.2
High sHDI - nat-average : Very high sHDI,0.3908163363872364,0.09757976781259718,1.6955188413351054,-0.939517557263367,-2.3270851040541616,0.5279887950756934,Wildfire,0.19566008074390817,High sHDI,nat-average,97,Likelihood fatalities,.,0.2
High sHDI - worse-off : Very high sHDI,0.2878331713675,0.017719273837258836,1.4231164718407783,-1.2453742327706783,-4.033102314483565,0.35284916525982873,Wildfire,0.25079890411217365,High sHDI,worse-off,81,Likelihood fatalities,.,0.2
Low sHDI - better-off : Very high sHDI,1.8266297605392707,0.8137374263129293,6.943150138080556,0.6024726080033683,-0.20611753711430497,1.9377555819188041,Wildfire,0.28481434850671805,Low sHDI,better-off,77,Likelihood fatalities,.,0.2
Low sHDI - nat-average : Very high sHDI,0.16727963527772408,0.05113813087867571,0.7267173201635045,-1.7880884041742502,-2.973224858893881,-0.3192177076494829,Wildfire,0.008732450962110441,Low sHDI,nat-average,83,Likelihood fatalities, ** ,1
Low sHDI - worse-off : Very high sHDI,1.7714023726703074,0.07357376557195347,9.0708379057610955,0.5717715338247097,-2.6094667628225348,2.20506464197266,Wildfire,0.6160931025355858,Low sHDI,worse-off,79,Likelihood fatalities,.,0.2
Medium sHDI - better-off : Very high sHDI,0.18611265130885948,0.007580550407379929,1.0192089605266086,-1.6814031364040387,-4.882169468853252,0.019026797522594237,Wildfire,0.23833608946666965,Medium sHDI,better-off,82,Likelihood fatalities,.,0.2
Medium sHDI - nat-average : Very high sHDI,0.3040538053745088,0.038734846901044756,1.4813646079804792,-1.190550601873523,-3.2510156473768514,0.39296369538448145,Wildfire,0.19291914570640933,Medium sHDI,nat-average,88,Likelihood fatalities,.,0.2
Medium sHDI - worse-off : Very high sHDI,0.08701514591232141,0.01735694335423645,0.39361557470461794,-2.4416730845334005,-4.053762659317512,-0.9323805447072869,Wildfire,0.002140436062797971,Medium sHDI,worse-off,84,Likelihood fatalities, ** ,1
High sHDI - better-off : Very high sHDI,0.30172881583634953,0.12239145502510654,0.5919789480673594,-1.198226625822377,-2.100530723227259,-0.5242842054274559,All types,0.0027066688742904653,High sHDI,better-off,968,Likelihood economic losses, ** ,1
High sHDI - nat-average : Very high sHDI,0.46183701052304776,0.2516040182941074,0.7924634352097888,-0.7725432412214641,-1.379898783321115,-0.23260891283166052,All types,0.009143345666117849,High sHDI,nat-average,1176,Likelihood economic losses, ** ,1
High sHDI - worse-off : Very high sHDI,0.909655106848767,0.3570954317460512,1.792592855377963,-0.0946897547740994,-1.029752217109735,0.5836630943133909,All types,0.8163163161708622,High sHDI,worse-off,883,Likelihood economic losses,.,0.2
Low sHDI - better-off : Very high sHDI,0.4623736937139788,0.21643041731086052,0.8695178192552053,-0.7713818539992761,-1.5304861813012927,-0.13981645171727983,All types,0.026002306008994593,Low sHDI,better-off,894,Likelihood economic losses,* ,1
Low sHDI - nat-average : Very high sHDI,0.5300965213730532,0.3236934628923928,0.8495520529443199,-0.6346961732188248,-1.1279583132109405,-0.1630460649453497,All types,0.009852342524510163,Low sHDI,nat-average,1016,Likelihood economic losses, ** ,1
Low sHDI - worse-off : Very high sHDI,0.9218788232649672,0.3570377552710784,1.9351936427072867,-0.08134149219207944,-1.0299137457325376,0.6602073952252372,All types,0.852428283337201,Low sHDI,worse-off,964,Likelihood economic losses,.,0.2
Medium sHDI - better-off : Very high sHDI,0.5608680974838504,0.1977971717429548,1.2399104895050956,-0.5782695214542064,-1.6205131584652412,0.2150391911284319,All types,0.21981188417435057,Medium sHDI,better-off,1010,Likelihood economic losses,.,0.2
Medium sHDI - nat-average : Very high sHDI,0.6123068467829735,0.35349132514249454,1.0388429350076196,-0.49052173848827685,-1.0398963338546958,0.03810753130353279,All types,0.07082187035128533,Medium sHDI,nat-average,1328,Likelihood economic losses,.,0.2
